Tool Name,Masterformat,Material Category,Material Subcategory,Category OpenEPD Name,Category L2,Category L3,Category L4,Country,Regions Applicable,Datapoint Type,Plant Admin District,Plant Admin District 2,Plant Name,Plant Address,Manufacturer,Category Declared Unit,Quantity Unit (EC3),Default Unit,Quantity Unit,Product Name,Product Description,Index,Expiry Date,Published Date,Image URL,Density (kg/m2),Density (kg/m3),Category Description,Category Mass per Declared Unit,Concrete Aggregate Size Unit,Concrete Air Entrainment,Concrete Compressive Strength Unit,Plant Type,Reviewer Name,Stored Carbon,Use Stored Carbon,Concrete Aggregate Size (mm),Concrete Compressive Strength,Concrete Slump (in),EC3 Uncertainty Factor (%),GWP Fossil + Biogenic (kgCO2e),GWP per Default Unit,AP per Default Unit,EP per Default Unit,SFP per Default Unit,ODP per Default Unit,NRE per Default Unit,GWPbio per Default Unit
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,California Plants,,Pacific Steel Group,1 t,,kg,kg,Fabricated Reinforcing Bar,Fabricated reinforcing bar is a steel bar used in the reinforcement of concrete. The rebar surface is rolled with a deformed pattern in order to form an improved mechanical bond with the concrete.,ec3gyktb,44579,42754,https://cqddatastore.blob.core.windows.net/cqd/images/6433893778824772a9ed9540544a2c21.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.152,0.86,0.86,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,"CMC - Seguin, TX, Durant, OK, Catoosa, OK",,CMC,1 t,,kg,kg,GalvaBar,"GalvaBar® is galvanized rebar with a zinc alloy coating that provides the well-known corrosion protection of zinc and is readily available in your existing rebar supply chain. GalvaBar® can be bent and fabricated after galvanizing without fear of peeling or flaking.

A highly automated, streamlined continuous galvanizing process provides comprehensive quality assurance and significant cost efficiencies, including lower material and labor costs. With minimal exposure to the molten zinc bath, the GalvaBar® production process can be applied to all grades of steel, providing a consistent coating with no risk of embrittlement. GalvaBar® complies with ASTM standard A1094/1094M requirements for Continuous Hot-dip Galvanized Steel Bars for Concrete Reinforcement.",ec3x2ftq,47311,45485,https://cqddatastore.blob.core.windows.net/cqd/images/3e3085e790b24210bb2907ca53b975b3.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.156,1.04,1.04,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,CMC Rebar Plants,,CMC,1 t,,kg,kg,Concrete Reinforcing Steel Bar (at Mill),"Rebar, or uncoated concrete reinforcement bar (coiled, spooled, straight; deformed or smooth), refers to carbon steel used as reinforcement in concrete. Rebar’s surface is often patterned to form a better bond with the concrete, and can be epoxy-coated to mitigate corrosion. This document refers only to uncoated rebar that has not yet undergone fabrication.",ec3ux61j,46078,44252,https://cqddatastore.blob.core.windows.net/cqd/images/b58f8ad537cd45439169792a402efdff.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.152,0.707,0.707,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,Gerdau North America Steel Mills,,Gerdau Long Steel,1 t,,kg,kg,Fabricated Carbon Steel Rebar,"This Environmental Product Declaration is for 1 metric ton of fabricated Carbon Steel Rebar produced by Gerdau in North America. Carbon Steel Rebar is manufactured from steel scrap, melted in an Electric Arc Furnace (EAF) followed by hot rolling, and by transport to Gerdau fabrication shops and fabrication.",ec3yjxr2,44557,42732,https://cqddatastore.blob.core.windows.net/cqd/images/397e587828144fef9c3946991b7e2607.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.152,1,1,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,Gerdau North America Steel Mills,,Gerdau Long Steel,1 t,,kg,kg,Fabricated Reinforcing Bar,"Gerdau is one of the leading producers of rebar - concrete reinforcing steel - providing an impressive range of straight bars and dowel products. Rebar is used in bridges, buildings, skyscrapers, homes, warehouses, foundations and roads to increase the strength of the concrete and to serve as the skeleton of the structure. These products have been used in projects ranging from the new NY Bridge, replacing the Tappan Zee Bridge, to the World Trade Center, and from hotels on the East Coast to professional stadiums on the West Coast.",ec33a91f,46263,44438,https://cqddatastore.blob.core.windows.net/cqd/images/38a657b1c040483589fc6c56c707a3f6.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.158,0.813,0.813,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,Gerdau Steel Mill,,Gerdau Long Steel,1 t,,kg,kg,Fabricated Steel Reinforcement,"Steel reinforcement is used as reinforcement in concrete or masonry structures. Fabricated reinforcement is reinforcing steel that has been cut, bent, or modified according to job specifications set by the design professional.",ec3zys8d,44801,42976,https://cqddatastore.blob.core.windows.net/cqd/images/a50f601e4a264a95b94f83a7e5415281.png,-,-,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.152,0.979,0.979,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,Gerdau Steel Mill,,Gerdau Long Steel,1 t,,kg,kg,S-P-07783 Reinforcing Steel Bar Gerdau GG 50 AN (Açonorte) and Fabrication Shop Facilities,"The Reinforcing Steel Bar Gerdau GG 50 is rolled from continuous cast billets and is used in a wide range of construction projects as the framework for reinforced concrete. The Gerdau GG 50 is the Gerdau brand for rebar produced in the CA50 category. It is the union of the product description with the name Gerdau (GG - Gerdau Group) and “50” is the specification of how much tensile stress the product must withstand without plastic deformation (500 MPa or 50 kgf / mm²). Moreover, the CA50 category is described in a standard. CA - Reinforced Concrete.",ec3bxdk3,46843,45050,https://cqddatastore.blob.core.windows.net/cqd/images/62d6f856634a402799b2ac39ad85594a.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,606.41 kgCO2e,FALSE,,,,0.152,-0.00241,0.604,,,,,,-0.60641
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,Gerdau Steel Mill,,Gerdau Long Steel,1 t,,kg,kg,S-P-07785 Reinforcing Steel Bar Gerdau GG 50 DIV (Divinópolis) and Fabrication Shop Facilities,"Reinforcing Steel Bar Gerdau GG 50 is rolled from continuous cast billets and is used in a wide range of construction projects as the framework for reinforced concrete. The Gerdau GG 50 is the Gerdau brand for rebar produced in the CA50 category. It is the union of the product description with the name Gerdau (GG - Gerdau Group) and “50” is the specification of how much tensile stress the product must withstand without plastic deformation (500 MPa or 50 kgf / mm²). Moreover, the CA50 category is described in a standard. CA - Reinforced Concrete.",ec3kc9hd,46843,45050,https://cqddatastore.blob.core.windows.net/cqd/images/6f3529d1dc7749b28d672f62bbea6cc3.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,984 kgCO2e,FALSE,,,,0.152,0.856,1.84,,,,,,-0.984
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,Gerdau Steel Mill,,Gerdau Long Steel,1 t,,kg,kg,"S-P-07787 Reinforcing Steel Bar Gerdau CA-60, Welded Mesh and Truss CSG (Rio de Janeiro) and Fabrica","Reinforcing Steel Bar Gerdau CA-60 is rolled from wire machine and is used in a wide range of construction projects as the framework for reinforced concrete. The Gerdau CA-60 is the Gerdau brand for rebar produced in the CA60 category. The “60” is the specification of how much tensile stress the product must withstand without plastic deformation (600 MPa or 60 kgf / mm²). Moreover, the CA60 category is described in a standard. CA - Reinforced Concrete",ec3rja4z,46843,45050,https://cqddatastore.blob.core.windows.net/cqd/images/c0c88588fbe743bd9e0100926bf3c40a.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,743 kgCO2e,FALSE,,,,0.152,0.357,1.1,,,,,,-0.743
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,Gerdau Steel Mill,,Gerdau Long Steel,1 t,,kg,kg,"S-P-07790 Reinforcing Steel Bar Gerdau CA-60, Welded Mesh and Truss SJC (São José dos Campos) and CU","Reinforcing Steel Bar Gerdau CA-60 is rolled from wire machine and is used in a wide range of construction projects as the framework for reinforced concrete. CUM and SJC sites receive wire machine, coils/ stockers/ ribbed wire which goes through a number of processes that result in the products listed in Table 1. The Gerdau CA-60 is the Gerdau brand for rebar produced in the CA60 category. The “60” is the specification of how much tensile stress the product must withstand without plastic deformation (600 MPa or 60 kgf / mm²). Moreover, the CA60 category is described in a standard. CA - Reinforced Concrete.",ec3jh7hm,46882,45065,https://cqddatastore.blob.core.windows.net/cqd/images/6aadcdc31f4f4894bca01d6ff0d4be4e.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,850 kgCO2e,FALSE,,,,0.152,0.35,1.2,,,,,,-0.85
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,Gerdau Steel Mill,,Gerdau Long Steel,1 t,,kg,kg,"S-P-08842 Reinforcing Steel Bar Gerdau CA-60, Welded Mesh and Truss URS (Sapucaia do Sul) and Fabric","Reinforcing Steel Bar Gerdau CA-60 is rolled from wire machine and is used in a wide range of construction projects as the framework for reinforced concrete. The Gerdau CA-60 is the Gerdau brand for rebar produced in the CA60 category. The “60” is the specification of how much tensile stress the product must withstand without plastic deformation (600 MPa or 60 kgf / mm²). Moreover, the category CA60 is described in a standard. CA - Reinforced Concrete.",ec36nh5h,46882,45065,https://cqddatastore.blob.core.windows.net/cqd/images/fb16ca6f284345efa5c64c2fa8d514a3.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,617.71 kgCO2e,FALSE,,,,0.152,-0.00471,0.613,,,,,,-0.61771
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,Industrial Center,,Ternium Mexico,1 t,,kg,kg,Ternium Steel rebar manufactured from iron ore,"Steel rebar used to reinforce concrete in the construction industry. The surface of the rebar is corrugated to limit the relative longitudinal movement between the steel and the surrounding concrete. Steel reinforcing bar produced by Ternium Mexico in the Puebla Industrial Works at San Miguel Xoxtla, in the state of Puebla, is produced using iron ore (direct reduced iron) as the main source of iron (70%) and steel scrap (30%). The product is manufactured according to Mexican standard NMX B506 and U.S. standard ASTM A615.",ec342x54,45062,43245,https://cqddatastore.blob.core.windows.net/cqd/images/69a90e7b5d124920998d5984bc5af2f9.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.15,1.089,1.089,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,Industrial Center,,Ternium Mexico,1 t,,kg,kg,Ternium Steel rebar manufactured from steel scrap,"Steel rebar used to reinforce concrete in the construction industry. The surface of the rebar is corrugated to limit the relative longitudinal movement between the steel and the surrounding concrete. Steel reinforcing bar produced by Ternium Mexico in the Largos Norte Works in San Nicolas de los Garza, in the state of Nuevo León, is produced using 100% steel scrap as source of iron. The product is manufactured according to Mexican standard NMX B506 and U.S. standard ASTM A615.",ec39up0c,45062,43245,https://cqddatastore.blob.core.windows.net/cqd/images/ee26284f60a445e3b67aa2226df06fc1.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.15,0.451,0.451,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,InfraBuild Construction Solutions Plant(s),,InfraBuild Construction Solutions,1 t,,kg,kg,Reinforcing Bar,"Reinforcing bar is a hot rolled deformed bar of normal ductility grade 500 steel that meets AS/NZS 4671
Steel reinforcing materials. It is produced in both straight lengths and coils in sizes from 10mm to 40mm diameter.
The required strength is achieved through either quenching and self-tempering, the addition of alloying elements,
or mechanical stressing (continuous stretching).",ec3nrq49,45921,42688,https://cqddatastore.blob.core.windows.net/cqd/images/99bed94b838f4588bfbd60a409097650.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.152,1.58,1.58,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,InfraBuild Construction Solutions Plant(s),,InfraBuild Construction Solutions,1 t,,kg,kg,Reinforcing Bar,"Reinforcing bar is a hot rolled deformed bar of normal ductility grade 500 steel that meets AS/NZS 4671 Steel reinforcing materials. It is produced in both straight lengths and coils in sizes from 10mm to 40mm diameter. The required strength is achieved through either quenching and self-tempering, the addition of alloying elements, or mechanical stressing (continuous stretching).",ec364uwj,45921,42688,https://cqddatastore.blob.core.windows.net/cqd/images/d88396a362524010b87c9cc08a3e2255.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.15,1.58,1.58,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,InfraBuild Construction Solutions Plant(s),,InfraBuild Construction Solutions,1 t,,kg,kg,Reinforcing Bar,"This EPD includes data on two products. These are: 1. Reinforcing bar 2. Reinforcing mesh.Each of the products included in this EPD are available in a wide range of sizes. Under the United Nations Central Product Classification (UN CPC) InfraBuild reinforcing bar and mesh products fall into three categories:• 41241: Bars and rods, hot-rolled, in irregularly wound coils, of iron and non-alloy steel• 41242: Other bars and rods of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or extruded, but including those twisted after rolling•   41264: Bars and rods, cold-formed or cold-finished, of alloy steel.Under the Australian and New Zealand Standard Industrial Classification (ANZSIC), the products within this EPD are described by the following Class Code and Title;•  2221 Structural Steel Fabrication The products are manufactured by InfraBuild at its major steelmaking and processing sites in Laverton, Vic and Rooty Hill, NSW and by Liberty Primary Steel at its integrated steelworks in Whyalla SA. A detailed description of the products can be found on pages 16 and 19.This EPD relates to products manufactured by InfraBuild Construction Solutions and therefore does not include imported products or components. The production process is described conceptually hereafter in Figure 3 (page 10).",ec3c3re1,45921,42688,https://cqddatastore.blob.core.windows.net/cqd/images/86284e4497cc4c77a18dc17ef8d97789.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.152,1.67,1.67,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,InfraBuild Construction Solutions Plant(s),,InfraBuild Construction Solutions,1 t,,kg,kg,Reinforcing Bar,"Viribar®750 is InfraBuild Reinforcing’ new range of 750 MPa grade, Class N (750N) bars for fitments in smaller diameters which are equivalent in force capacity to the existing 500 MPa grade, Class N (500N) bars. This equivalence means that the new Viribar®750 fitments can be substituted for the existing 500 MPa fitments for standard reinforced concrete columns. By using Viribar®750, the 33% reduction in the mass of steel fitments has the potential to significantly improve the sustainability credentials and constructability of a project.",ec3ryb4j,45921,42688,https://cqddatastore.blob.core.windows.net/cqd/images/34ce4e958ce84ab1910453cb18918312.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.15,1.67,1.67,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,InfraBuild Construction Solutions Plant(s),,InfraBuild Construction Solutions,1 t,,kg,kg,Reinforcing Mesh,"Viribar®750 is InfraBuild Reinforcing’ new range of 750 MPa grade, Class N (750N) bars for fitments in smaller diameters which are equivalent in force capacity to the existing 500 MPa grade, Class N (500N) bars. This equivalence means that the new Viribar®750 fitments can be substituted for the existing 500 MPa fitments for standard reinforced concrete columns. By using Viribar®750, the 33% reduction in the mass of steel fitments has the potential to significantly improve the sustainability credentials and constructability of a project.",ec3k6ztk,45921,42688,https://cqddatastore.blob.core.windows.net/cqd/images/2119b8ae809e4ff1b739b38a2e467df2.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.152,2.06,2.06,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,Innowood Australia Pty Ltd Plant(s),,INNOWOOD Australia Pty Ltd,1 t,,kg,kg,Deformed Reinforcing Bar,"The studied products are deformed bar-in-length (DBIL) and deformed bar-in-coil (DBIC) made
from steel. Reozone purchases DBIL and DBIC from ACRS accredited suppliers that arrives on semi-
trailers and is lifted off by crane or forklift. The material is kept in stock on the warehouse floor until
it is placed in Reozone’s machinery to cut and bend the DBIL and DBIC. The material is bundled
(and some products are placed in bulka bags) before being loaded via crane onto trucks and then
transported to site.",ec3saebh,47274,45448,https://cqddatastore.blob.core.windows.net/cqd/images/f643a0166141496a8747859930ca8b8b.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.15,1.104454,1.104454,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,Innowood Australia Pty Ltd Plant(s),,INNOWOOD Australia Pty Ltd,1 t,,kg,kg,Steel reinforcing bar,Steel reinforcing bar used in reinforced concrete for structural reinforcement in various applications across the built environment.,ec336nj4,47289,,https://cqddatastore.blob.core.windows.net/cqd/images/7c30a70dec12460cbd7c3274c581a69d.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.152,2350001.521,2350001.521,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,Kerakoll plants,,Kerakoll S.p.A.,1 t,,kg,kg,S-P-11328 Metric Rebar,"Kerakoll Construction Product is a sustainable building material with a focus on raw material supply, manufacturing, and construction stages, aiming to reduce environmental impacts.",ec31h4hu,45268,45268,https://cqddatastore.blob.core.windows.net/cqd/images/a843c712224048aa98fb79cacd5490a6.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,0.614617 kgCO2e,FALSE,,,,0.152,-0.0506,0.564017,,,,,,-0.614617
